,RioGrande del sol,,,,,,,RioGrande Rivera,,,,,,,Santa Catarina,,,,,,,Parana,,,,,,,AVG,,,,,,,,
YEAR,Days>95,CumTmax,CumTmax(oC),CumTmin,Cum Rain,days of rain,,Days>95,CumTmax,CumTmax,CumTmin,Cum Rain,daysof rain,,Days>95,CumTmax,CumTmax,CumTmin,Cum Rain,daysof rain,,Days>95,CumTmax,CumTmax,CumTmin,Cum Rain,daysofrain,,Days>95,CumTmax,CumTmax,CumTmin,Cum Rain,Cum Rain (cm),DaysofRain,,
1974,3,5470.8,1866,4439.4,,,,,,,,,,,,,,,,,,1,5641.8,1961,4560,4.78,7,,2.00,5556.30,1913.50,4499.70,4.78,12.14,7.00,,
1975,9,5575.2,1924,4426.8,,,,,,,,,,,15,5890.2,2099,4455.6,,,,3,5690.4,1988,4466.4,,,,9.00,5718.60,2003.67,4449.60,,,,,
1976,0,5454.6,1857,4302.6,,,,,,,,,,,7,5701.2,2030,4515,,,,3,5749.8,2021,4495.2,,,,3.33,5635.20,1969.33,4437.60,,,,,
1977,1,5503.2,1884,4740,,,,,,,,,,,5,5704.8,1996,4527.6,8.06,10,,8,5816.4,2058,4612.2,3.85,13,,4.67,5674.80,1979.33,4626.60,5.96,15.13,11.50,,
1978,1,5388,1820,4572.6,,,,0,5474.4,1868,4149.6,3.83,10,,7,5733.6,2012,4414.2,12.34,14,,13,5985.6,2152,4570.8,5.43,6,,5.25,5645.40,1963.00,4426.80,7.20,18.29,10.00,,
1979,0,5391.6,1822,4570.8,,,,6,5740.8,2016,4219.8,11.11,8,,12,6165.6,2252,4489.8,6.08,10,,15,6018,2170,4399.8,13.19,6,,8.25,5829.00,2065.00,4420.05,10.13,25.72,8.00,,
1980,2,5494.2,1901,4619.4,,,,0,5708.4,2029.166667,4268.4,,,,25,6109.1,2220.611111,4452,5.13,10,,3,5915.4,2113,4461,11.8,12,,7.50,5806.78,2065.94,4450.20,8.47,21.50,11.00,,
1981,2,5492.4,1878,4596,,,,0,5589.6,1932,4284.6,12.89,14,,9,5906.4,2108,4576.2,15.98,18,,6,5955,2135,4689.6,5.64,14,,4.25,5735.85,2013.25,4536.60,11.50,29.22,15.33,,
1982,0,5368.1,1808.944444,4579.7,,,,7,5590.3,1932.388889,4157.6,4.98,14,,13,5880.9,2093.833333,4375,3.1,7,,3,5842.1,2072.277778,4497.7,6.68,14,,5.75,5670.35,1976.86,4402.50,4.92,12.50,11.67,,
1983,0,5444.1,1851.166667,4741.5,,,,2,5664.4,1973.555556,4379.4,12.01,17,,10,5916.4,2113.555556,4516.2,11.91,10,,6,5912.5,2111.388889,4593.3,15.5,20,,4.50,5734.35,2012.42,4557.60,13.14,33.38,15.67,,
1984,2,5620.9,1976.777778,4785.3,,,,4,5725,1973.555556,4536.3,5.69,10,,19,6025.4,2174.111111,4665.9,19.81,20,,15,6056.3,2191.277778,4557.8,6.79,18,,10.00,5856.90,2078.93,4636.33,10.76,27.34,16.00,,
1985,2,5463,1861.666667,4498.2,,,,1,5642.9,1961.611111,4313.7,,,,10,5897.8,2103.222222,4609.5,,,,3,5824.5,2062.5,4629.9,,,,4.00,5707.05,1997.25,4512.83,,,,,
1986,1,5500.8,1882.666667,4482,,,,10,5802,2050,4357.2,,,,18,5844.6,2073.666667,4585.2,,,,3,5782.9,2039.388889,4590.8,,,,8.00,5732.58,2011.43,4503.80,,,,,
1987,0,5509.8,1887.666667,4555.8,,,,6,5759.1,2026.166667,4357.6,8.16,18,,14,5850.1,2076.722222,4645.2,1.66,6,,0,5709.2,1998.444444,4469.7,6.09,12,,5.00,5707.05,1997.25,4507.08,5.30,13.47,12.00,,
1988,0,5484.1,1900.777778,4523.5,,,,5,5682,1983.333333,4255.9,13.49,16,,13,5924.1,2117.833333,4458.1,11.92,16,,5,5844,2073.333333,4497.3,5.68,13,,5.75,5733.55,2018.82,4433.70,10.36,26.32,15.00,,
1990,0,5484.1, ,4523.5,,,,10,5740.3,2015.722222,4389.3,16.88,19,,11,5860.7,2082.611111,4570.9,13.33,20,,2,5823.1,2061.722222,4520.6,24.66,24,,5.75,5727.05,2053.35,4501.08,18.29,46.46,21.00,,
1991,1,5522.2,,4743.4,,,,7,5792.8,2044.888889,4126.4,5.26,13,,20,6020.8,2171.555556,4374.9,8.35,20,,2,6007.9,2164.388889,4448.1,0.95,2,,7.50,5835.93,2126.94,4423.20,4.85,12.33,11.67,,
1992,1,5522.2,1894.555556,4743.4,,,,0,5609.4,1976.722222,4299.6,1.66,6,,10,5879.4,2093,4431.3,15.18,16,,9,6015.3,2168.5,4493.7,9.3,18,,5.00,5756.58,2033.19,4492.00,8.71,22.13,13.33,,
1993,0,5334.9,1861.611111,4690.3,,,,4,5606.2,1941.222222,4292.7,12.87,18,,12,5856.5,2080.277778,4483,8,12,,6,5937.3,2125.166667,4426.5,18.22,19,,5.50,5683.73,2002.07,4473.13,13.03,33.10,16.33,,
1994,0,5455.4,1857.444444,4528.2,,,,2,5656,1968.888889,4169,9.14,18,,16,5842.2,2072.333333,4369.5,4.61,11,,11,5944.8,2129.333333,4503.5,8.27,20,,7.25,5724.60,2007.00,4392.55,7.34,18.64,16.33,,
1995,0,5406.2,1830.111111,4558.9,,,,8,5768.3,2031.277778,4255.5,16.12,29,,16,5817.7,2058.722222,4446,10.32,11,,3,5880.5,2093.611111,4555.1,15.84,23,,6.75,5718.18,2003.43,4453.88,14.09,35.80,21.00,,
1996,0,5404,,4560,,,,5,5660.4,2003.111111,4290.6,11.6,16,,11,5866.1,2085.611111,4471.8,11.52,17,,7,5953.1,2133.944444,4522.5,16.68,26,,5.75,5720.90,2074.22,4461.23,13.27,33.70,19.67,,
1997,0,5402.4,1828,4660.8,,,,9,5869.8,2087.666667,4464.3,14.87,11,,21,5967.2,2141.777778,4538.3,17.52,17,,7,5935.4,2124.111111,4574.5,18.56,21,,9.25,5793.70,2045.39,4559.48,16.98,43.14,16.33,,
1998,1,5271,1755,4549.2,,,,1,5293.6,1767.555556,4369.8,,,,6,5712,2000,4512.9,22.18,21,,11,5938,2125.555556,4597.5,16.83,22,,4.75,5553.65,1912.03,4507.35,19.51,49.54,21.50,,
1999,0,5448.7,1853.722222,4575.9,,,,1,5613,1945,4381.3,,,,19,6046.6,2185.888889,4474.1,,,,4,5975.6,2146.444444,4519.8,,,,6.00,5770.98,2032.76,4487.78,,,,,
