,Chuoxiong,,,,,,,Guanunan,,,,,,,Simao,,,,,,,Tengchange,,,,,,,AVG,,,,,,,,,,,
YEAR,Days>85,CumTmax,CumTmax,CumTmin,Cum Rain,Days of rain,,Days>85,CumTmax,CumTmax (oC),CumTmin,Cum Rain,Days of rain,,Days>85,CumTmax,CumTmax,CumTmin,Cum Rain,Days of rain,,Days>85,CumTmax,CumTmax,CumTmin,Cum Rain,Days of rain,,Days>85,CumTmax,CumTmax,CumTmin,Cum Rain,Cum Rain (cm),Days of rain,,,,,
1973,0,2874.2,939,2278.4,4.32,18,,,,,,,,,3,3070,1030,2492.2,14.5,30,,0,2962,970,2368,7.48,21,,1.00,2968.73,979.67,2379.53,8.77,22.28,23.00,,,,,
1974,0,2854,910,2339.2,5.47,16,,,,,,,,,1,3032.2,1009,2479.6,18.8,29,,0,2843.5,904.1666667,2359.3,7.79,14,,0.33,2909.90,941.06,2392.70,10.69,27.15,19.67,,,,,
1975,0,2918.8,946,2292.4,2.05,6,,,,,,,,,1,3032.2,1009,2458,3.12,4,,0,2913.4,943,2337.4,8.78,11,,0.33,2954.80,966.00,2362.60,4.65,11.81,7.00,,,,,
1976,0,2940.4,958,2317.6,1.26,3,,,,,,,,,1,3010.6,997,2441.8,10.52,9,,0,2839.6,902,2359,5.21,12,,0.33,2930.20,952.33,2372.80,5.66,14.38,8.00,,,,,
1977,0,2902.6,937,2308.6,6.15,24,,,,,,,,,4,3068.2,1029,2481.4,10.51,26,,0,2897.2,934,2382.4,15.44,31,,1.33,2956.00,966.67,2390.80,10.70,27.18,27.00,,,,,
1978,1,2996.2,989,2341,8.1,17,,,,,,,,,,,,,,,,2,2978.2,963,2404,12.11,27,,1.50,2987.20,976.00,2372.50,10.11,25.68,22.00,,,,,
1979,0,2971,975,2369.8,9.95,19,,,,,,,,,,,,,,,,2,2893.6,932,2418.4,12.65,28,,1.00,2932.30,953.50,2394.10,11.30,28.70,23.50,,,,,
1980,0,2790,910,2264.4,3.97,19, ,,,,,,,,,,,,,,,0,2888.2,929,2404,12.23,31,,0.00,2839.10,919.50,2334.20,8.10,20.57,25.00,,,,,
1981,0,2881.8,961,2280.6,4,19,,,,,,,,,,,,,,,,0,2904.4,938,2434.6,12.3,29,,0.00,2893.10,949.50,2357.60,8.15,20.70,24.00,,,,,
1982,0,2880.1,960.0555556,2226,6.4,15,,9,2800.9,933.8333333,2263.7,5.46,31,,4,3060.2,1024.555556,2479.1,14.74,24,,0,2922.1,947.8333333,2384.5,9.34,27,,3.25,2915.83,966.57,2338.33,8.99,22.83,24.25,,,,,
1983,0,2791.2,910.6666667,2232.5,9.72,23,,6,3364,1114.111111,2728.4,14.85,25,,2,3020.5,1002.5,2492.2,16.25,25,,0,2853.8,909.8888889,2363.9,16.59,26,,2.00,3007.38,984.29,2454.25,8.99,22.83,24.75,,,,,
1984,0,2779.8,904.3333333,2190.1,6.09,19,,7,3037.1,1011.722222,2404.2,12.83,24,,3,3056.3,1022.388889,2483.5,10.39,26,,0,2884.8,927.1111111,2351.6,8.29,27,,2.50,2939.50,966.39,2357.35,9.40,23.88,24.00,,,,,
1985,0,2828,931.1111111,2258.7,6.6,23,,2,3078.8,1034.888889,2485.7,8.57,22,,1,3046.5,1016.944444,2535,13.77,27,,0,2894.4,932.4444444,2402.8,10.28,29,,0.75,2961.93,978.85,2420.55,9.81,24.92,25.25,,,,,
1986,0,2920,946.6666667,2340.1,9.77,24,,2,3011.5,997.5,2431.7,9.18,27,,1,3043.7,1015.388889,2488.5,13.28,27,,0,2906.9,939.3888889,2351.6,7.91,29,,0.75,2970.53,974.74,2402.98,10.04,25.50,26.75,,,,,
1987,0,2881.6,925.3333333,2388,9.36,22,,9,3078.8,1034.888889,2481.2,9.94,17,,0,3026.2,1005.666667,2540.9,15.53,26,,0,2850,907.7777778,2394.5,7.02,28,,2.25,2959.15,968.42,2451.15,10.46,26.57,23.25,,,,,
1988,0,2956.3,966.8333333,2422,11.49,19,,3,3060.1,1024.5,2496.4,10.37,23,,0,3008.8,996,2550.7,9.97,27,,0,2724.9,838.2777778,2403,14.42,33,,0.75,2937.53,956.40,2468.03,11.56,29.36,25.50,,,,,
1990,2,3033.7,1009.833333,2370,4.22,14,,6,3088.9,1040.5,2396.7,0.95,6,,9,3129.5,1063.055556,2525.6,5.81,16,,0,2942.8,959.3333333,2383.1,1.22,12,,4.25,3048.73,1018.18,2418.85,8.10,20.57,12.00,,,,,
1991,1,2908.3,940.1666667,2366.2,9.26,23,,10,3119.1,1057.277778,2469.2,9.59,20,,4,3086.8,1039.333333,2526.4,12.31,25,,1,2866.7,917.0555556,2376,13.15,28,,5.25,3026.35,988.46,2424.00,9.97,25.32,21.75,,,,,
1992,0,2980.9,980.5,2328.7,11.41,24,,15,3243.6,1108.666667,2427.4,5.17,11,,4,3120.1,1057.833333,2494.7,6.65,21,,0,2924.1,948.9444444,2381.3,18.11,30,,2.25,3009.10,1023.99,2425.40,12.24,31.09,26.50,,,,,
1993,0,2872.9,920.5,2403.8,12.67,29,,5,3011.3,997.3888889,2496.9,12.79,31,,0,2964.4,971.3333333,2540.1,16.76,33,,0,2744.7,849.2777778,2384.8,14.93,34,,1.25,2905.00,934.63,2446.53,13.80,35.05,30.75,,,,,
1994,1,2986.8,983.7777778,2406.5,5.41,22,,5,3038,1012.222222,2457.4,10.82,27,,1,3045.9,1016.611111,2506.5,9.05,26,,1,2941.3,958.5,2399.8,17.59,31,,1.75,3004.85,992.78,2450.90,10.71,27.20,26.50,,,,,
1995,2,2946.5,961.3888889,2413.8,12.1,24,,4,3045.4,1016.333333,2490.8,10.77,27,,3,3019,1001.666667,2551.5,17.58,31,,0,2898.9,934.9444444,2408.4,16.67,35,,3.50,2989.65,978.58,2452.13,12.59,31.98,26.50,,,,,
1996,0,2981.1,980.6111111,2390.7,6.17,19,,9,3094.2,1043.444444,2434.8,4,16,,1,3005.2,994,2507.1,13.44,25,,0,2886.9,928.2777778,2400.7,14.25,29,,2.00,2988.08,986.58,2442.23,10.73,27.25,22.75,,,,,
1997,1,3006,994.4444444,2373.5,7.48,20,,7,3079.1,1035.055556,2470.4,9.05,18,,3,3056.1,1022.277778,2531.3,13.84,25,,0,2914.3,943.5,2397.8,11.22,31,,4.25,3033.83,998.82,2443.35,8.87,22.53,22.75,,,,,
1998,0,2941.3,958.5,2457.7,4.79,21,,13,3158.9,1079.388889,2470.8,2.92,15,,2,3026.4,1005.777778,2567.8,9.54,30,,0,2783.7,870.9444444,2411.1,8.08,29,,0.75,2938.75,978.65,2481.98,7.47,18.97,26.67,,,,,
1999,0,2887.2,928.4444444,2424.1,,,,1,3003.6,993.1111111,2491.3,,,,0,2976.6,978.1111111,2549.9,,,,0,2803.3,881.8333333,2396.4,,,,1.25,2958.15,945.38,2479.58,7.60,19.30,29.00,,,,,
2000,0,2949.3,962.9444444,2441.3,11.13,30,,5,3165.5,1065.277778,2547.9,7.6,29,,3,3031.4,1008.555556,2560.1,12.99,36,,0,2846.3,905.7222222,2404.6,9.94,32,,2.50,2960.03,985.63,2474.73,10.23,25.98,30.25,,,,,
2001,1,2965.1,971.7222222,2439.5,9.21,28,,7,3013.1,998.3888889,2492.9,6.85,23,,6,3107.4,1050.777778,2568.6,12.21,33,,0,2944.5,960.2777778,2427,11.6,31,,3.50,3032.65,995.29,2474.00,12.08,30.68,28.75,,,,,
2002,1,2931.9,953.2777778,2322.4,10.94,27,,7,3113.6,1036.444444,2460.9,15.31,23,,4,3048.5,1018.055556,2476.8,15.29,30,,0,2943.6,959.7777778,2362.6,14.4,30,,4.25,3002.78,991.89,2420.83,12.02,30.53,25.50,,,,,
2003,3,2978.6,979.2222222,2422.3,6.06,15,,12,3087.1,1039.5,2521.5,7.43,15,,5,3165.7,1065.388889,2639.6,15.3,30,,0,2932.8,953.7777778,2460,6.6,25,,6.25,3062.28,1009.47,2513.38,8.61,21.87,23.50,,,,,
2004,1,2989.5,985.2777778,2429.6,7.23,22,,17,3172,1086.666667,2531.6,6.48,24,,6,3096.2,1044.555556,2550.1,10.91,31,,0,2924,948.8888889,2466.2,13.33,32,,3.75,3020.55,1016.35,2487.25,9.38,23.83,26.50,,,,,
2005,0,2909.8,941,2396.2,9.51,25,,8,3072.5,1031.388889,2503.1,6.05,21,,2,3063.6,1026.444444,2569.2,15.72,31,,2,2917.7,945.3888889,2445.8,12.08,30,,4.50,3010.08,986.06,2479.08,10.65,27.05,26.50,,,,,
2006,1,3003.9,993.2777778,2344.5,5.11,16,,14,3149.2,1074,2505.1,5.29,20,,10,3140.5,1069.166667,2564.9,11.2,29,,5,3028.5,1006.944444,2455.8,7.31,29,,7.25,3068.35,1035.85,2465.18,7.37,18.72,24.50,,,,,
2007,0,2862.6,914.7777778,2347.7,10.21,26,,13,3100.5,1046.944444,2495.5,5.87,24,,4,3074.9,1032.722222,2555.3,15.64,30,,1,2915.1,943.9444444,2445.4,11.01,31,,3.25,2991.23,984.60,2463.53,11.72,29.77,27.25,,,,,
2008,0,2904.3,937.9444444,2384.9,8.32,20,,8,3112.3,1053.5,2505.7,10.03,22,,3,3036.4,1011.333333,2543.9,14.16,32,,1,2878.1,923.3888889,2425.8,7.58,32,,5.50,3005.28,981.54,2464.55,8.34,21.18,25.50,,,,,
2009,1,3017.4,1000.777778,2414.8,6.33,15,,18,3202.3,1103.5,2503.6,3.31,18,,5,3082.4,1036.888889,2570.7,10.67,30,,0,2966.9,972.7222222,2437.6,9.07,23,,4.00,3054.55,1028.47,2486.13,8.31,21.11,21.25,,,,,
2010,2,3021.5,1003.055556,2419.3,10.17,22,,10,3151.5,1075.277778,2521.4,7.18,17,,10,3140.3,1069.055556,2586.2,6.62,21,,1,2979.8,979.8888889,2447.2,11.57,28,,5.75,3087.58,1031.82,2479.95,7.65,19.43,21.00,,,,,
2011,2,3005.6,994.2222222,2377.2,4.83,19,,10,3208.7,1107.055556,2467.1,2.22,13,,3,3092.9,1042.722222,2534.5,10.7,33,,0,2922.4,948,2414.7,8.56,28,,4.50,3042.68,1023.00,2450.85,7.45,18.92,24.25,,,,,
2012,6,2991.6,986.4444444,2385.9,8.65,18,,13,3149.8,1074.333333,2477,5.69,17,,7,3128.9,1062.722222,2535.6,15.81,29,,2,2979,979.4444444,2434.2,8.95,24,,7.00,3045.10,1025.74,2464.73,11.31,28.73,24.00,,,,,
2013,1,2914.8,943.7777778,2368.9,12,28,,13,3080.9,1036.055556,2503.2,11.81,25,,2,3033.5,1009.722222,2554,16.84,33,,1,2855.5,910.8333333,2434.8,18.24,36,,5.00,2984.43,975.10,2466.80,13.79,35.03,29.75,,,,,
2014,0,2949.7,963.1666667,2424.5,10.84,20,,16,3133.9,1065.5,2509.5,8.06,22,,2,3070.3,1030.166667,2583.8,11.63,32,,0,2879.8,924.3333333,2406,15.08,33,,4.50,3008.43,995.79,2480.95,11.40,28.96,26.75,,,,,
2015,0,2854.8,910.4444444,2392.9,15.15,25,,6,3065.7,1027.611111,2506.1,13.04,25,,0,3020.3,1002.388889,2581.7,19.28,29,,0,2789.7,874.2777778,2413.5,10.05,33,,1.50,2932.63,953.68,2473.55,14.38,36.53,28.00,,,,,
2016,1,3032.5,1009.166667,2441.6,14.4,30,,12,3122.5,1059.166667,2562.9,11.06,23,,7,3092.8,1042.666667,2587.8,14.53,30,,0,2914.6,943.6666667,2426.4,19.21,33,,5.00,3040.60,1013.67,2504.68,14.80,37.59,29.00,,,,,
2017,1,2976.9,978.2777778,2460.1,7.39,22,,16,3136.9,1067.166667,2580.4,12.5,26,,4,3048.8,1018.222222,2586.2,13.85,29,,0,2833.3,898.5,2438.2,13.53,36,,5.25,2998.98,990.54,2516.23,11.82,30.02,28.25,,,,,
2018,0,2997.2,989.5555556,2436.2,7.42,23,,8,3102.4,1048,2546.1,14.33,22,,2,3017.3,1000.722222,2562.5,20.68,28,,0,2872.2,920.1111111,2421.2,17.83,33,,2.50,2997.28,989.60,2491.50,15.07,38.28,26.50,,,,,
2019,8,3078.9,1034.944444,2477.4,6.8,18,,17,3157.9,1078.833333,2543.3,7.09,20,,8,3122.3,1059.055556,2580.5,10.72,33,,1,2970,974.4444444,2428.2,11.81,26,,8.50,3082.28,1036.82,2507.35,9.11,23.14,24.25,,,,,
2020,8,3069.1,1029.5,2444.5,9.1,20,,22,3226.9,1117.166667,2569.4,6.65,15,,12,3169.8,1085.444444,2575.3,15.19,26,,2,2952.9,964.9444444,2424.3,19.66,28,,11.00,3104.68,1049.26,2503.38,12.65,32.13,22.25,,,,,
2021,8,3067.1,1028.388889,2468.2,9.51,21,,26,3281.5,1147.5,2562.9,12.8,22,,2,3079.5,1035.277778,2513.3,12.07,33,,2,2911.5,941.9444444,2392.2,13.18,28,,9.50,3084.90,1038.28,2484.15,11.89,30.20,26.00,,,,,
2022,7,3105.4,1049.666667,2429.1,9.01,21,,19,3258.3,1134.611111,2520,5.57,16,,6,3130.9,1063.833333,2505.3,14.2,24,,3,3078.1,1034.5,2432.7,12.04,27,,8.75,3143.18,1070.65,2471.78,10.21,25.93,22.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
