"India, Andrah Pradesh Province",Hyderabad,,,,,,,Nellore,,,,,,,PBO-Anantapur,,,,,,,Machlip,,,,,,,AVG,,,,,,
YEAR,Days>100,CumTmax,CumTmax,CumTmin,Cum Rain,Days of rain,,Days>100,CumTmax,CumTmax,CumTmin,Cum Rain,"days>0.1""",,Days>100,CumTmax,CumTmax,CumTmin,Cum Rain,Days of rain,,Days>100,CumTmax,CumTmax,CumTmin,Cum Rain,Days of rain,,Days>100,CumTmax,CumTmax,CumTmin,Cum Rain,Cum Rain (cm),Days of rain
1978,1,5335,1915,4044.4,0.91,4,,1,5358.4,2000,4327,0,0,,10,5594.2,2059,4202.8,0.03,2,,0,5131.6,1802,4312.6,1.26,1,,3.00,5354.80,1944.00,4221.70,0.55,1.40,1.75
1979,6,5390.8,1946,4057,1.1,3,,3,5446.6,1949,4411.6,0.14,2,,16,5669.8,2101,4310.8,2.64,2,,0,5284.6,1887,4276.6,0.31,1,,6.25,5447.95,1970.75,4264.00,1.05,2.66,2.00
1980,7,5567.2,2044,4152.4,0,0,,4,5627.3,2059.611111,4366.8,0,0,,15,5696.8,2116,4188.4,0,0,,1,5333.2,1914,4262.2,0,0,,6.75,5556.13,2033.40,4242.45,0.00,0.00,0.00
1981,1,5448.4,1978,3974.2,1.11,6,,0,5401.6,1952,4269.4,0.31,1,,13,5678.8,2106,4168.6,0.3,2,,0,5275.6,1882,4202.8,0.1,2,,3.50,5451.10,1979.50,4153.75,0.46,1.16,2.75
1982,1,5519.4,2017.444444,4143.4,0,0,,1,5477.3,1994.055556,4311,0,0,,11,5710.7,2123.722222,4214.6,0.08,1,,0,5332.7,1913.722222,4210.3,0,0,,3.25,5510.03,2012.24,4219.83,0.02,0.05,0.25
1983,13,5617.5,2071.944444,4116,0.35,1,,4,5560.8,2040.444444,4360.6,0,0,,19,5769.8,2156.555556,4211.2,0,0,,1,5388.3,1944.611111,4286.8,0.02,1,,9.25,5584.10,2053.39,4243.65,0.09,0.23,0.50
1984,2,5387.4,1944.111111,4012.5,0.59,3,,1,5374.6,1919.222222,4430.1,3.63,4,,12,5532,2024.444444,4186,0.5,3,,0,5133,1802.777778,4222.7,0.27,2,,3.75,5356.75,1922.64,4212.83,1.25,3.17,3.00
1985,15,5677.4,2105.222222,4013.4,1.73,3,,1,5501.1,2007.277778,4286.2,0,0,,27,5793.1,2169.5,4144.8,0.18,2,,0,5255.7,1870.944444,4233.1,0,0,,10.75,5556.83,2038.24,4169.38,0.48,1.21,1.25
1986,11,5418.6,1961.444444,4114.9,0.65,4,,2,5333.4,1914.111111,4321.1,0.31,1,,18,5657.8,2094.333333,4274.3,0,0,,0,5089.4,1778.555556,4212.9,2.49,5,,7.75,5374.80,1937.11,4230.80,0.86,2.19,2.50
1987,0,5387.9,1944.388889,3933.9,0,0,,2,5373.2,1936.222222,4216.7,0.28,1,,12,5598.9,2061.611111,4053.1,0,0,,1,5122.8,1797.111111,4088.9,1.62,2,,3.75,5370.70,1934.83,4073.15,0.48,1.21,0.75
