country,scenario,year,exposure,value,,scenario,year,exposure,value,,scenario,year,exposure,value
India,ssp126,2021,tasmax,29.662215,,ssp370,2021,tasmax,29.39671,,ssp585,2021,tasmax,29.608765
India,ssp126,2022,tasmax,29.69006,,ssp370,2022,tasmax,29.37065,,ssp585,2022,tasmax,29.606935
India,ssp126,2023,tasmax,29.66832,,ssp370,2023,tasmax,29.376645,,ssp585,2023,tasmax,29.658055
India,ssp126,2024,tasmax,29.759705,,ssp370,2024,tasmax,29.44983,,ssp585,2024,tasmax,29.672335
India,ssp126,2025,tasmax,29.63974,,ssp370,2025,tasmax,29.47762,,ssp585,2025,tasmax,29.67633
India,ssp126,2026,tasmax,29.6987,,ssp370,2026,tasmax,29.56563,,ssp585,2026,tasmax,29.77408
India,ssp126,2027,tasmax,29.73445,,ssp370,2027,tasmax,29.530765,,ssp585,2027,tasmax,29.763535
India,ssp126,2028,tasmax,29.895995,,ssp370,2028,tasmax,29.49342,,ssp585,2028,tasmax,29.77792
India,ssp126,2029,tasmax,29.808515,,ssp370,2029,tasmax,29.620345,,ssp585,2029,tasmax,29.78081
India,ssp126,2030,tasmax,29.789735,,ssp370,2030,tasmax,29.504045,,ssp585,2030,tasmax,29.809085
India,ssp126,2031,tasmax,29.83107,,ssp370,2031,tasmax,29.56613,,ssp585,2031,tasmax,29.81601
India,ssp126,2032,tasmax,29.72949,,ssp370,2032,tasmax,29.708665,,ssp585,2032,tasmax,29.85788
India,ssp126,2033,tasmax,29.936005,,ssp370,2033,tasmax,29.758775,,ssp585,2033,tasmax,29.866225
India,ssp126,2034,tasmax,29.931225,,ssp370,2034,tasmax,29.67346,,ssp585,2034,tasmax,29.848235
India,ssp126,2035,tasmax,29.98077,,ssp370,2035,tasmax,29.616865,,ssp585,2035,tasmax,29.96936
India,ssp126,2036,tasmax,29.94237,,ssp370,2036,tasmax,29.80458,,ssp585,2036,tasmax,29.98416
India,ssp126,2037,tasmax,29.952285,,ssp370,2037,tasmax,29.80945,,ssp585,2037,tasmax,30.038255
India,ssp126,2038,tasmax,29.88019,,ssp370,2038,tasmax,29.843095,,ssp585,2038,tasmax,30.087675
India,ssp126,2039,tasmax,30.04541,,ssp370,2039,tasmax,29.80809,,ssp585,2039,tasmax,30.127885
India,ssp126,2040,tasmax,30.053175,,ssp370,2040,tasmax,29.909165,,ssp585,2040,tasmax,30.083615
India,ssp126,2041,tasmax,30.055675,,ssp370,2041,tasmax,29.89697,,ssp585,2041,tasmax,30.2182
India,ssp126,2042,tasmax,30.08617,,ssp370,2042,tasmax,29.8604,,ssp585,2042,tasmax,30.231415
India,ssp126,2043,tasmax,30.156415,,ssp370,2043,tasmax,30.02208,,ssp585,2043,tasmax,30.192185
India,ssp126,2044,tasmax,30.0052,,ssp370,2044,tasmax,29.941545,,ssp585,2044,tasmax,30.41278
India,ssp126,2045,tasmax,30.00639,,ssp370,2045,tasmax,29.931915,,ssp585,2045,tasmax,30.392655
India,ssp126,2046,tasmax,30.079345,,ssp370,2046,tasmax,30.055375,,ssp585,2046,tasmax,30.377655
India,ssp126,2047,tasmax,30.13446,,ssp370,2047,tasmax,30.07692,,ssp585,2047,tasmax,30.49187
India,ssp126,2048,tasmax,30.122235,,ssp370,2048,tasmax,30.02533,,ssp585,2048,tasmax,30.515
India,ssp126,2049,tasmax,30.16844,,ssp370,2049,tasmax,30.12114,,ssp585,2049,tasmax,30.59807
India,ssp126,2050,tasmax,30.190675,,ssp370,2050,tasmax,30.22388,,ssp585,2050,tasmax,30.662825
India,ssp126,2051,tasmax,30.21248,,ssp370,2051,tasmax,30.150145,,ssp585,2051,tasmax,30.66356
India,ssp126,2052,tasmax,30.09294,,ssp370,2052,tasmax,30.2861,,ssp585,2052,tasmax,30.6803
India,ssp126,2053,tasmax,30.236635,,ssp370,2053,tasmax,30.223065,,ssp585,2053,tasmax,30.808565
India,ssp126,2054,tasmax,30.1767,,ssp370,2054,tasmax,30.130025,,ssp585,2054,tasmax,30.808165
India,ssp126,2055,tasmax,30.120165,,ssp370,2055,tasmax,30.281875,,ssp585,2055,tasmax,30.85855
India,ssp126,2056,tasmax,30.22705,,ssp370,2056,tasmax,30.43127,,ssp585,2056,tasmax,30.945235
India,ssp126,2057,tasmax,30.26091,,ssp370,2057,tasmax,30.34218,,ssp585,2057,tasmax,31.07529
India,ssp126,2058,tasmax,30.223495,,ssp370,2058,tasmax,30.53699,,ssp585,2058,tasmax,31.061325
India,ssp126,2059,tasmax,30.29091,,ssp370,2059,tasmax,30.49588,,ssp585,2059,tasmax,31.129625
